icao24,registration,manufacturer,model,typecode,serialnumber,icaoaircrafttype,operatorcallsign,operatoricao,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines
888138,VN-A893,AIRBUS,A350 941,A359,129,L2J,VIET NAM AIRLINES,HVN,,,,,,,,
461f4f,OH-LWH,AIRBUS,A350 941,A359,97,L2J,FINNAIR,FIN,,,,,,,,
06a108,A7-ALT,AIRBUS,A350 941,A359,90,L2J,QATARI,QTR,,,,,,,,
76cda7,9V-SMG,AIRBUS,A350 941,A359,62,L2J,SINGAPORE,SIA,,,,,,,,
76cdb2,9V-SMR,AIRBUS,Airbus A350 941,A359,140,L2J,SINGAPORE,SIA,,,,,,,,
40170,ET-AWM,AIRBUS,A350-941,A359,289,L2J,ETHIOPIAN,ETH,,,,,,,,RR Trent XWB
06a0f6,A7-ALB,AIRBUS,A350 941,A359,7,L2J,QATARI,QTR,,,,,,,,
3c670b,D-AIXK,AIRBUS,A350-941,A359,212,L2J,LUFTHANSA,DLH,,,,,,,,
3c6706,D-AIXF,AIRBUS,A350 941,A359,146,L2J,LUFTHANSA,DLH,,,,,,,,
407799,G-XWBC,AIRBUS,A350-1041,A35K,,L2J,SPEEDBIRD,BAW,,2019-11-26,,,,,,
34640e,EC-NIG,AIRBUS,A350-941,A359,397,L2J,IBERIA,IBE,,,,,2019-12-01,2020-01-17,,RR Trent XWB
06a127,A7-ANK,AIRBUS,A350-1041,A35K,332,L2J,QATARI,QTR,,,,,,,,RR Trent XWB-97
39c495,F-HREV,AIRBUS,A350 941,A359,,L2J,,,,,,,,,,
461f4d,OH-LWF,AIRBUS,A350 941,A359,28,L2J,FINNAIR,FIN,,,,,,,,
3c6704,D-AIXD,AIRBUS,A350 941,A359,127,L2J,LUFTHANSA,DLH,,,,,,,,
780aa4,B-LRD,AIRBUS,A350 941,A359,38,L2J,CATHAY,CPA,,,,,,,,
e49249,PR-XTC,AIRBUS,A350 941,A359,35,L2J,TAM,TAM,,,,,,,,
899022,B-18905,AIRBUS,A350 941,A359,73,L2J,DYNASTY,CAL,,,,,,,,
76cdb9,9V-SMY,AIRBUS,A350-900,A359,,L2J,SINGAPORE,SIA,,2019-09-13,,,,,,RR Trent XWB-84
885103,HS-THC,AIRBUS,A350 941,A359,50,L2J,THAI,THA,,,,,,,,
76cda4,9V-SMD,AIRBUS,A350 941,A359,37,L2J,SINGAPORE,SIA,,,,,,,,
4aca61,SE-RSA,AIRBUS,Airbus A350-941,A359,358,L2J,SCANDINAVIAN,SAS,,,,,,,,TRENT XWB-84
a641b6,N502DN,AIRBUS,A350-941,A359,135,L2J,DELTA,DAL,,,2023-08-31,,2017-01-01,,,ROLLS-ROYC TRENT XWB-84
780aa2,B-LRB,AIRBUS,A350 941,A359,32,L2J,CATHAY,CPA,,,,,,,,
06a11e,A7-ANB,AIRBUS,A350 1041,A35K,102,L2J,QATARI,QTR,,,,,,,,
06a0fe,A7-ALJ,AIRBUS,A350 941,A359,25,L2J,QATARI,QTR,F-WZFT,2016-08-01,,,2016-01-01,,,
88812d,VN-A892,AIRBUS,A350 941,A359,86,L2J,VIET NAM AIRLINES,HVN,,,,,,,,
38a6fb,F-WXWB,AIRBUS,A350 941,A359,1,L2J,,,,,,,,,,
06a0f9,A7-ALE,AIRBUS,A350 941,A359,8,L2J,QATARI,QTR,F-WZFC,2015-10-30,,,2015-01-01,,,
06a103,A7-ALO,AIRBUS,A350 941,A359,63,L2J,QATARI,QTR,,,,,,,,
789204,B-LRX,AIRBUS,A350 941,A359,155,L2J,CATHAY,CPA,,,,,,,,
76cda2,9V-SMB,AIRBUS,A350 941,A359,30,L2J,SINGAPORE,SIA,,,,,,,,
06a0e6,A7-AMG,AIRBUS,A350-941,A359,,L2J,QATARI,QTR,,,,,,,,
3c6701,D-AIXA,AIRBUS,Airbus A350-941,A359,74,L2J,LUFTHANSA,DLH,,,,,,,,
346419,EC-NIS,AIRBUS,A350-941,A359,406,L2J,IBERIA,IBE,,,,,,2016-03-20,,RR Trent XWB
06a0f7,A7-ALC,AIRBUS,Airbus A350-941,A359,9,L2J,QATARI,QTR,,,,,,,,
a64924,N504DN,AIRBUS,A350-941,A359,160,L2J,DELTA,DAL,,,2023-11-30,,2017-01-01,,,ROLLS-ROYC TRENT XWB-84
3465c5,EC-NOI,AIRBUS,A350-941,A359,448,L2J,,WFL,,,,,2021-02-01,2021-04-23,,RR Trent XWB
76cd01,9V-SHA,AIRBUS,A350-941,A359,254,L2J,SINGAPORE,SIA,,,,,2018-11-01,,,
789234,B-LQB,AIRBUS,350-941,A359,337,L2J,CATHAY,CPA,,,,,,,,RR Trent XWB
461f4e,OH-LWG,AIRBUS,A350 941,A359,51,L2J,FINNAIR,FIN,,,,,,,,
3c6707,D-AIXG,AIRBUS,A350 941,A359,174,L2J,LUFTHANSA,DLH,,,,,,,,
76cdb4,9V-SMT,AIRBUS,A350 941,A359,170,L2J,SINGAPORE,SIA,,,,,,,,
76cd15,,AIRBUS,A359,A359,,L2J,SINGAPORE,SIA,,,,,,,,JET
388e9b,F-WZFM,AIRBUS,A350 941,A359,131,L2J,,,,,,,,,,
38335a,F-WWXL,AIRBUS,A350 1041,A35K,71,L2J,,,,,,,,,,
461f49,OH-LWB,AIRBUS,A350 941,A359,19,L2J,FINNAIR,FIN,,,,,,,,
88800000000,VN-A889,AIRBUS,A350 941,A359,17,L2J,VIET NAM AIRLINES,HVN,,,,,,,,
789232,B-LXL,AIRBUS,350-1041,A35K,306,L2J,CATHAY,CPA,,,,,,,,RR Trent XWB-97
06a129,A7-ANM,AIRBUS,A350-1041,A35K,,L2J,QATARI,QTR,,,,,,,,
407698,G-VJAM,AIRBUS, A350-1041,A35K,,L2J,VIRGIN,VIR,,2019-09-27,,,,,,
a66935,N512DN,AIRBUS,A350-941,A359,267,L2J,DELTA,DAL,,2019-01-25,2025-01-31,,2019-01-01,,,ROLLS-ROYC TRENT XWB-84
4075b4,G-VPOP,AIRBUS,                                                                            Airbus A350-1041,A35K,298,L2J,VIRGIN,VIR,,,,,,,,RR TRENT XWB-97
346390,EC-NGY,AIRBUS,A350-941,A359,400,L2J,EVELOP,EVE,,,,,2020-06-01,2020-02-24,,RR Trent XWB
4bb0e1,TC-LGA,AIRBUS,A350-941,A359,,L2J,TURKISH,THY,,,,,,,,
781602,B-305X,AIRBUS, A350-941,A359,,L2J,CHINA EASTERN,CES,,2019-01-29,,,,,,
888123,VN-A890,AIRBUS,A350 941,A359,56,L2J,VIET NAM AIRLINES,HVN,,,,,,,,
38e85b,F-WLXV,AIRBUS,A350 1041,A35K,65,L2J,,,,,,,,,,
780aa3,B-LRC,AIRBUS,A350 941,A359,34,L2J,CATHAY,CPA,,,,,,,,
e49248,PR-XTB,AIRBUS,A350 941,A359,27,L2J,TAM,TAM,,,,,,,,
7815bf,B-305A,AIRBUS,A350-941,A359,,L2J,HAINAN,CHH,,2019-01-01,2019-10-21,,,,,2
a65092,N506DN,AIRBUS,A350-941,A359,175,L2J,DELTA,DAL,,,2023-12-31,,2017-01-01,,,ROLLS-ROYC TRENT XWB-84
39cf07,F-HTYH,AIRBUS,A350-941,A359,488,L2J,AIRFRANS,AFR,,,,,,,,
885105,HS-THE,AIRBUS,A350 941,A359,111,L2J,THAI,THA,,,,,,,,
76cdab,9V-SMK,AIRBUS,A350 941,A359,84,L2J,SINGAPORE,SIA,,,,,,,,
00afea,ZS-SDD,AIRBUS,A350-941,A359,,L2J,SPRINGBOK,SAA,,2019-11-01,,,,,,2
780abc,B-LRQ,AIRBUS,A350 941,A359,109,L2J,CATHAY,CPA,,,,,,,,
